Timestamp,Total_Consumption
2011-01-31,340961519.22019243
2011-02-28,309860283.027537
2011-03-31,343128768.44869584
2011-04-30,356846607.1318378
2011-05-31,384204415.3466868
2011-06-30,379706723.5180752
2011-07-31,400383887.6406963
2011-08-31,402615457.75140566
2011-09-30,373189123.60857755
2011-10-31,369912360.218649
2011-11-30,317048072.2982843
2011-12-31,322014339.9088025
2012-01-31,552369467.296896
2012-02-29,511083774.23431385
2012-03-31,554860386.0964136
2012-04-30,527390466.10577846
2012-05-31,640467620.9028244
2012-06-30,686102024.5387272
2012-07-31,776660149.4615213
2012-08-31,799367836.1567101
2012-09-30,719856909.6582441
2012-10-31,613355975.3154045
2012-11-30,530737278.68630815
2012-12-31,547733487.4238912
2013-01-31,569215040.278084
2013-02-28,495797703.9749478
2013-03-31,557783856.2946483
2013-04-30,560402110.4781151
2013-05-31,621309823.8048757
2013-06-30,681913133.604215
2013-07-31,845289965.8010958
2013-08-31,852088958.4270761
2013-09-30,761273555.3617284
2013-10-31,680089966.4911929
2013-11-30,584508791.2552906
2013-12-31,595023480.601585
2014-01-31,579207115.805549
2014-02-28,518024358.4982992
2014-03-31,568343506.1730473
2014-04-30,591621894.4178483
2014-05-31,655054608.9583145
2014-06-30,695616305.8016398
2014-07-31,800954794.1833315
2014-08-31,827511336.1007237
2014-09-30,752409278.0656649
2014-10-31,708630101.7462883
2014-11-30,587060889.8681995
2014-12-31,578922806.7887285
